headline,description,last_updated,tag,category,link
"Kronologi Sopir Truk Hantam Motor dan Mobil di Tangerang, Kabur Hindari Kejaran Warga ",,1 November 2024,Megapolitan,News,https://news.kompas.com?source=navbar
"Momen Pertemuan Prabowo dan Jokowi di Solo, Ditemani Bakmi Jawa hingga Tempe Mendoan",,3 November 2024,Nasional,News,https://news.kompas.com?source=navbar
"Saat Lukman Pancing Gus Hans ""Serang"" Petahana di Debat Pilkada Jatim",,3 November 2024,Surabaya,News,https://news.kompas.com?source=navbar
"Jembatan Ambruk di Kepulauan Aru, 44 Orang Terluka Saat Sambut DPRD",,3 November 2024,Regional,News,https://news.kompas.com?source=navbar
"PKL Bermunculan, Tepi Jalur Puncak Bogor Dipasang Pagar Besi",,3 November 2024,Bandung,News,https://news.kompas.com?source=navbar
"Debat Pilkada Jatim, Luluk Nur Hamidah Soroti Korupsi di Pemprov",,3 November 2024,Surabaya,News,https://news.kompas.com?source=navbar
Bahlil: Subsidi BBM dan Listrik Berpotensi Salah Sasaran hingga Rp 100 Triliun,,3 November 2024,VIDEO,News,https://news.kompas.com?source=navbar
Siapa Tega Bunuh Wanita dengan Cara Tebas Kepala?,,31 Oktober 2024,NEWS,News,https://news.kompas.com?source=navbar
[HOAKS] Video Mamah Dedeh Janjikan Bantuan Rp 35 Juta ,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"[HOAKS] Bantuan Dana Rp 2,5 Juta untuk Pemegang KIS",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
Beragam Hoaks Tokoh Publik Bagikan Uang di Media Sosial...,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[KLARIFIKASI] Tidak Ada Korban Tewas dalam Tabrak Lari Truk di Tangerang,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"INFOGRAFIK: Foto Manipulasi Pesawat Tersangkut di Jembatan, Simak Faktanya",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"INFOGRAFIK: Hoaks Kloning Sapi dan Babi di China, Simak Bantahannya",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[KLARIFIKASI] Tidak Benar Kiper Bahrain Tanggapi Teriakan Suporter Indonesia,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[KLARIFIKASI] Pose Tiga Jari Anies Baswedan Disebar dengan Konteks Keliru,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[HOAKS] WHO Akui Mpox adalah Efek Samping Covid-19,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[HOAKS] Raffi Ahmad Bagikan Rp 200 Juta Melalui Akun Instagram,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"INFOGRAFIK: Video Perlihatkan Letusan Gunung, Bukan Kamp Pengungsian Rafah",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[HOAKS] Imbauan Mematikan Ponsel untuk Hindari Radiasi Kosmik,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[HOAKS] Surat Pemberitahuan Perubahan Biaya Transfer Bank Jatim,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
CEK FAKTA: Pernyataan Ahmad Luthfi soal Desa Temparak di Jawa Tengah,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"[KLARIFIKASI] Video Banjir di Zaragoza Keliru Dikira Terjadi di Valencia, Spanyol",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"Pilpres AS 2024: 7 Negara Bagian Jadi Penentu Hasil, Mana Saja?","
Persaingan antara Kamala Harris dan Donald Trump menjelang Pilpres AS 2024 pada 5 November semakin ketat. Ini tujuh negara penentu hasil Pilpres.
",3 November 2024,GLOBAL,News,https://news.kompas.com?source=navbar
Supian Suri Bakal Bangun Balai Latihan Kerja untuk Atasi Pengangguran di Depok,,3 November 2024,Megapolitan,News,https://news.kompas.com?source=navbar
Kronologi Kasus Korupsi Proyek KA yang Seret Eks Dirjen Kemenhub Jadi Tersangka,,3 November 2024,Nasional,News,https://news.kompas.com?source=navbar
"Pegawai Komdigi ""Bekingi"" Judi Online: Satu Per Satu Jadi Tersangka, Budi Arie Apresiasi",,3 November 2024,VIDEO,News,https://news.kompas.com?source=navbar
"Prabowo Bakal Kumpulkan Kepala Daerah hingga Dandim-Kapolres, Beri Arahan untuk Jaga Lingkungan",,3 November 2024,Nasional,News,https://news.kompas.com?source=navbar
"Debat Pilkada Palangka Raya, 2 Paslon Adu Strategi Ketahanan Pangan Lokal",,3 November 2024,Regional,News,https://news.kompas.com?source=navbar
Imam-Ririn Janji Lebarkan Jalan dan Tambah Transportasi untuk Atasi Kemacetan di Depok,,3 November 2024,Megapolitan,News,https://news.kompas.com?source=navbar
"Debat Pilkada Jatim, Tri Rismaharini Janji Bebaskan PNBP Nelayan",,3 November 2024,Surabaya,News,https://news.kompas.com?source=navbar
"Khofifah Buka Debat dengan Pamer Penghargaan, Luluk Bahas Jamban",,3 November 2024,Surabaya,News,https://news.kompas.com?source=navbar
Anggota DPRD Singkawang Tersangka Pencabulan Ditangkap Polda Kalbar,,3 November 2024,Regional,News,https://news.kompas.com?source=navbar
"Kunjungi Desa di Cikampek, Mendes Minta Swasta Terlibat Bangun Desa",,3 November 2024,Nasional,News,https://news.kompas.com?source=navbar
"Ribuan Peternak Sapi di Boyolali Resah, UD Pramono Nyaris Tutup karena Utang Pajak Rp 670 Juta",,3 November 2024,Regional,News,https://news.kompas.com?source=navbar
Prabowo dan Jokowi Makan Nasi Goreng di Solo: Gak Ada Obrolan Politik,,3 November 2024,Regional,News,https://news.kompas.com?source=navbar
Kejagung Tangkap Eks Dirjen Perkeretaapian Kemenhub terkait Korupsi Proyek Jalur Kereta,,3 November 2024,Nasional,News,https://news.kompas.com?source=navbar
"Kabar Duka, Penyanyi Dina Mariana Meninggal Dunia",,3 November 2024,VIDEO,News,https://news.kompas.com?source=navbar
Jenazah Dina Mariana Dimakamkan Besok di TPU Tanah Kusir ,,3 November 2024,Seleb,News,https://news.kompas.com?source=navbar
Suasana Rumah Duka Dina Mariana ,,,Seleb,News,https://news.kompas.com?source=navbar
"Sebelum Meninggal, Dina Mariana Sempat Dirawat karena Masalah di Lambung",,,Seleb,News,https://news.kompas.com?source=navbar
"Kata-kata ""Magic"" Ridwan Kamil Bikin Hati Raffi Ahmad Tergerak Adopsi Lily",,,Seleb,News,https://news.kompas.com?source=navbar
"Profil Dina Mariana, Penyanyi Lawas yang Meninggal Dunia di Usia 59 Tahun",,,Entertainment,News,https://news.kompas.com?source=navbar
"Bercerai, Ari Lasso Masih Komunikasi Hampir Setiap Hari dengan Vita Dessy ",,,Seleb,News,https://news.kompas.com?source=navbar
Penyanyi Dina Mariana Meninggal Dunia ,,,Seleb,News,https://news.kompas.com?source=navbar
Raffi Ahmad Sempat Ragu Adopsi Lily Jadi Anak Ketiganya,,,Seleb,News,https://news.kompas.com?source=navbar
"Sinopsis Film Raging Fire, Donnie Yen Adu Akting Laga dengan Nicholas Tse",,,Seleb,News,https://news.kompas.com?source=navbar
Aksi Panggung Chris Martin ,,,,News,https://news.kompas.com?source=navbar
Meriah! Konser Coldplay di Jakarta ,,,,News,https://news.kompas.com?source=navbar
Alvin Jonathan Juarai X Factor Indonesia 2022,,,,News,https://news.kompas.com?source=navbar
Hakim Tolak Eksepsi Adam Deni,,,,News,https://news.kompas.com?source=navbar
Roby Geisha Tiga Kali Terjerat Kasus Narkoba,,,,News,https://news.kompas.com?source=navbar
Ardhito Pramono Berbaju Tahanan Usai Terjerat Kasus Narkoba,,,,News,https://news.kompas.com?source=navbar
Aksi The Brandals Hentak Panggung Nge-Gigs,,,,News,https://news.kompas.com?source=navbar
Mengintip Persiapan Pebalet Namarina Youth Dance Jelang Pentas,,,,News,https://news.kompas.com?source=navbar
"Merespons Pandemi, Namarina Youth Dance Gelar Pertunjukan Balet Virtual ",,,,News,https://news.kompas.com?source=navbar
Angga Dwimas Sasongko dalam Bidikan Lensa,,,,News,https://news.kompas.com?source=navbar
"Persidangan Terdakwa Anak, Terlalu Sederhanakah?",,24 Oktober 2024,Analisis,News,https://news.kompas.com?source=navbar
Mekanisme Hukum Lelang Wilayah Izin Usaha Pertambangan,,,Konsultasi,News,https://news.kompas.com?source=navbar
"Barang Gadai Hilang, Bagaimana Hukumnya?",,,Konsultasi,News,https://news.kompas.com?source=navbar
Over Kredit Kendaraan Tanpa Persetujuan Perusahaan Pembiayaan,,,Konsultasi,News,https://news.kompas.com?source=navbar
Aturan Hukum Penangguhan Penahanan,,,Konsultasi,News,https://news.kompas.com?source=navbar
Timses Nina Agustina Duga Keributan di Sukra Indramayu Hasil Rekayasa,,3 November 2024,Bandung,Pemilu,https://pemilu.kompas.com?source=navbar
KPU Ponorogo Rilis Laporan Penerimaan Sumbangan Dana Kampanye Paslon Bupati dan Wakil Bupati Pilkada 2024,,3 November 2024,Surabaya,Pemilu,https://pemilu.kompas.com?source=navbar
Berapa Gaji KPPS Pilkada 2024?            ,,3 November 2024,Ekbis,Pemilu,https://pemilu.kompas.com?source=navbar
"Tiga Warga Cianjur Tertimpa Baliho Paslon Lain, Dedi Mulyadi Turun Tangan            ",,3 November 2024,Bandung,Pemilu,https://pemilu.kompas.com?source=navbar
"Ketemuan di Solo, Ridwan Kamil: Pak Jokowi Dukung, Beri Izin ProJo Deklarasi            ",,2 November 2024,Nasional,Pemilu,https://pemilu.kompas.com?source=navbar
"Debat Pilkada Kulon Progo, Infrastruktur Rusak Jadi Sorotan Paslon            ",,2 November 2024,Yogyakarta,Pemilu,https://pemilu.kompas.com?source=navbar
"Debat Pilkada Tasikmalaya, Warga Nobar di Pinggir Jalan Samping Lokasi Acara            ",,2 November 2024,Bandung,Pemilu,https://pemilu.kompas.com?source=navbar
"Jelang Debat Kedua Pilkada Jatim 2024, Ini Persiapan Ketiga Paslon            ",,2 November 2024,Surabaya,Pemilu,https://pemilu.kompas.com?source=navbar
"Truk Tabrak Lari di Tangerang, Diduga Sudah Ugal-ugalan dari Bekasi",,1 November 2024,,Pemilu,https://pemilu.kompas.com?source=navbar
"Kaesang Tak Diajak ke Pertemuan Ketum Partai dengan Prabowo, Kenapa?",,1 November 2024,,Pemilu,https://pemilu.kompas.com?source=navbar
Kakorlantas Sebut BPKB Elektronik Jadi Pilihan Pemilik Kendaraan,,1 November 2024,,Pemilu,https://pemilu.kompas.com?source=navbar
"Debat Pilkada Solo, Berikut Profil Teguh-Bambang dan Respati-Astrid",,31 Oktober 2024,Regional,Pemilu,https://pemilu.kompas.com?source=navbar
DPR RI Desak Polda Sulsel Tindak Tegas 2 Oknum Perwira Terlibat Politik,,31 Oktober 2024,Makassar,Pemilu,https://pemilu.kompas.com?source=navbar
"Fraksi PDI-P Ungkap Dugaan Cawe-cawe Pj Wali Kota di Pilkada, Minta Mendagri Tindak Tegas",,31 Oktober 2024,Nasional,Pemilu,https://pemilu.kompas.com?source=navbar
"Foto Bareng Cabup, Oknum Guru di Sumbawa Terbukti Langgar Netralitas ASN",,31 Oktober 2024,Regional,Pemilu,https://pemilu.kompas.com?source=navbar
"Pilkada Sumut, Tim Pemenangan Bobby-Surya Nilai Pasangan Ini Unggul di Debat Pertama",,31 Oktober 2024,Regional,Pemilu,https://pemilu.kompas.com?source=navbar
"Debat Perdana Pilkada Kota Bekasi Digelar Besok, Ini Temanya",,31 Oktober 2024,Megapolitan,Pemilu,https://pemilu.kompas.com?source=navbar
Bobby-Surya Janji Beri Insentif ke Daerah yang Bisa Turunkan Angka Peredaran Narkoba,,31 Oktober 2024,Medan,Pemilu,https://pemilu.kompas.com?source=navbar
"Minta Maaf ke Masyarakat, Edy-Hasan: Kami Tak Punya Kekuatan Penguasa ",,31 Oktober 2024,Medan,Pemilu,https://pemilu.kompas.com?source=navbar
"Pilkada Kota Bandung, Farhan-Erwin Siapkan Lahan Parkir Vertikal Atasi Kemacetan",,31 Oktober 2024,Bandung,Pemilu,https://pemilu.kompas.com?source=navbar
"Tak Ingin Jadi Gubernur Pemarah, Bobby-Surya: Kami Humanis",,31 Oktober 2024,Medan,Pemilu,https://pemilu.kompas.com?source=navbar
"Edy Rahmayadi: Marah itu ""By Design"" dalam Debat Pilkada 2024",,31 Oktober 2024,Medan,Pemilu,https://pemilu.kompas.com?source=navbar
"Debat Pilkada Banda Aceh, 4 Paslon Saling Pamer Program",,30 Oktober 2024,Regional,Pemilu,https://pemilu.kompas.com?source=navbar
"Debat Pilkada Sumut, Edy Rahmayadi Janji Tunaikan yang Belum Selesai",,30 Oktober 2024,Medan,Pemilu,https://pemilu.kompas.com?source=navbar
"KPU Libatkan 200 Warga untuk Lipat Surat Suara Pilkada 2024, Logistik Alat Bantu bagi Disabilitas Netra Belum Tiba",,30 Oktober 2024,Regional,Pemilu,https://pemilu.kompas.com?source=navbar
"Debat Kandidat Pilkada Kabupaten Bandung Dijaga Ketat, Tamu Dibatasi 100 Orang",,30 Oktober 2024,Bandung,Pemilu,https://pemilu.kompas.com?source=navbar
Kodam VI Mulawarman Dukung Transisi Energi Hijau di IKN ,,02/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
"Progres Terbaru IKN, Empat Gedung Kantor Kemenko di Atas 60 Persen",,02/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
Otorita Dapat Hibah Rp 119 Miliar Bangun Command Center Tahap II IKN,,02/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
Komisi III DPR Soroti Masalah Penegakan Hukum Tambang Ilegal di Kaltim,,02/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
" Masih Banyak Tambang Ilegal di Kaltim, Rikwanto: Harus Dihilangkan",,01/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
 Balikpapan Berencana Danai Program Makan Bergizi Gratis dari PAD,,01/11/2024,City,IKN,https://ikn.kompas.com?source=navbar
" Selamatkan Kekayaan Negara, Komisi III DPR RI Kunjungi Kaltim",,01/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
" Januari-September 2024, Bandara SAMS Sepinggan Layani 4 Juta Penumpang",,01/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
 Command Center Tahap II IKN Raup Dukungan 7 Raksasa Teknologi Amerika,,01/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
 8 Poin Strategis Kesiapan Otorita IKN Sambut Tahun 2025,,01/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
" 3.100 Hektar Lahan di PPU Disiapkan, Topang Infrastruktur Masa Depan IKN",,01/11/2024,News,IKN,https://ikn.kompas.com?source=navbar
 Pasar dan Puskesmas Buat ASN yang Pindah ke IKN Mulai Dibangun,,31/10/2024,News,IKN,https://ikn.kompas.com?source=navbar
" Penjelasan Nusron soal 2.086 Hektar Lahan di IKN, Habis Masa HGU",,31/10/2024,News,IKN,https://ikn.kompas.com?source=navbar
" Terbesar dalam Sejarah, Kompetisi IFRC Ke-21 Hasilkan Juara Umum Baru",,31/10/2024,Community,IKN,https://ikn.kompas.com?source=navbar
"Terus Digeber, Jalan IKN Jadi Salah Satu Fokus Kementerian PU","
Ditjen Bina Marga pun akan lebih memperkuat pembinaan untuk mendukung ketahanan pangan sampai ke titik-titik produksi yang memerlukan peran besar dari
",25/10/2024,Infrastructure,IKN,https://ikn.kompas.com?source=navbar
Proyek Jalan Kawasan Hankam dan Lingkar Sepaku 4 di IKN Berlanjut,,23/10/2024,Infrastructure,IKN,https://ikn.kompas.com?source=navbar
"Beres Tahun 2025, Begini Progres Terbaru Tol IKN Seksi 6B dan 6C",,18/09/2024,Infrastructure,IKN,https://ikn.kompas.com?source=navbar
Jalan Tol IKN dan Konektivitas Lainnya Dapat Pagu Rp 4 Triliun,,29/08/2024,Infrastructure,IKN,https://ikn.kompas.com?source=navbar
"Bangun Jalan dan Jembatan di IKN, Pemerintah Habiskan Rp 18,9 Triliun",,21/08/2024,Infrastructure,IKN,https://ikn.kompas.com?source=navbar
"Daftar Perumahan Murah di Sekitar IKN, Harga di Bawah Rp 200 Juta","
Sebagai lokasi Ibu Kota Nusantara (IKN) berada, Kabupaten Penajam Paser Utara menjadi pusat perhatian, menawarkan berbagai pilihan rumah subsidi denga
",29/10/2024,Housings,IKN,https://ikn.kompas.com?source=navbar
"Pilihan Rumah Murah di Penyangga IKN, Harga Kurang dari Rp 200 Juta",,28/10/2024,Housings,IKN,https://ikn.kompas.com?source=navbar
Perumahan Murah di Bawah Rp 200 Juta di Penyangga IKN Balikpapan,,23/09/2024,Housings,IKN,https://ikn.kompas.com?source=navbar
"Pembangunan Tercepat, Rusun ASN 2 di IKN Sabet Rekor Muri",,19/09/2024,Housings,IKN,https://ikn.kompas.com?source=navbar
"Bangun Rumah Subsidi di IKN, REI Masih Tunggu Permintaan Konsumen ",,20/08/2024,Housings,IKN,https://ikn.kompas.com?source=navbar
Dubes Norwegia Apresiasi Pembangunan IKN,"
Dia meyakini, pembangunan plasma nutfah nasional akan sangat berguna untuk melestarikan kekayaan biodiversitas di Indonesia.

",19/10/2024,Foresta,IKN,https://ikn.kompas.com?source=navbar
Revitalisasi Pusat Konservasi Beruang Madu Diresmikan,,16/10/2024,Foresta,IKN,https://ikn.kompas.com?source=navbar
Senawara Borneo: Proyek IKN Bikin Luasan Mangrove Susut 1.800 Hektar ,,10/09/2024,Foresta,IKN,https://ikn.kompas.com?source=navbar
DPRD Desak Polda Tuntaskan Kasus Tambang Ilegal di IKN dan Kaltim,,22/07/2024,Foresta,IKN,https://ikn.kompas.com?source=navbar
Reforestasi Lahan Kritis IKN Baru 3.000 Hektar dari Total 126.000 Hektar,,28/06/2024,Foresta,IKN,https://ikn.kompas.com?source=navbar
Balikpapan Berencana Danai Program Makan Bergizi Gratis dari PAD,"
Penggunaan dana yang bersumber dari PAD tersebut merupakan salah satu dari beberapa opsi yang akan digali dan dibahas Pemkot Balikpapan.

",01/11/2024,City,IKN,https://ikn.kompas.com?source=navbar
"Balikpapan Jelang Pilkada 2024, 536.475 Surat Suara Mulai Disortir ",,29/10/2024,City,IKN,https://ikn.kompas.com?source=navbar
"Pemindahan ASN Dimulai Januari 2025, Archipelago Bidik Peluang Hotel",,25/10/2024,City,IKN,https://ikn.kompas.com?source=navbar
Gedung Garuda Rescue Nusantara Balikpapan Sabet Rekor Muri,,24/10/2024,City,IKN,https://ikn.kompas.com?source=navbar
"Respons Kabinet Merah Putih, DPOP Balikpapan Bentuk Bidang Baru",,22/10/2024,City,IKN,https://ikn.kompas.com?source=navbar
